id,Google Scholar,Scopus,Web of science,Авторы (Соавторы),ВАК,Вид деятельности,Вид достижения,Вклад %,Дата выдачи,Дата мероприятия,Дата публикации,Должность подписанта,Литературная ссылка,Место или степень,Место проведения,Место публикации,Наименование,Наименование мероприятия,Наименование статьи,Номер патента,Номер удостоверения,Подписант,РИНЦ,Ссылки на новости,Ступень,Уровень мероприятия,Уровень участия,awarded
523,0,0,0,,0,учебная,грамота,,,2026-01-12T19:00:00.000Z,,"Кандидат сельскохозяйственных наук,доцент",,5.0,Университет ,,,Экзамен ,,,,Моисеева Ксения Викторовна ,0,,,Университетский,,Нет
525,0,0,0,,0,учебная,диплом,,,2025-04-18T19:00:00.000Z,,Председатель правления АРСИБ,,3.0,Москва (Онлайн формат),,,"Квиз-турнир ""80 лет победы""",,,,Минин В.В,0,"https://www.utmn.ru/news/stories/studencheskaya-zhizn/1310228/ , https://www.utmn.ru/news/stories/obshchestvo-i-kultura/1288825/",,Международный,,Нет
527,0,0,0,,0,спортивная,диплом,,,2025-03-13T19:00:00.000Z,,директор департамента по спорту и молодежной политике ,,1.0,г.Тюмень ,,,Спартакиада среди образовательных организаций высшего образования города Тюмени,,,,Д.А.Фабричников,0,https://vk.com/wall-5278698_5264,,Муниципальный,,Да
528,0,0,0,,0,общественная,благодарность,,,2025-12-18T19:00:00.000Z,,Ректор ТюмГУ,,,Главный корпус ТюмГУ,,,Итоговое заседание Объединённого совета обучающихся,,,,Романчук И.С. ,0,,,Университетский,"руководитель студенческого медиа ""лайт медиа"" в тюменском государственном университете",Нет
529,0,0,0,,0,спортивная,диплом,,,2025-02-01T19:00:00.000Z,,Директор Департамента Физической культуры и спорта Тюменской области,,1.0,г. Тюмень ул. Валерии Гнаровской 1,,,3 Спартакиада профессиональных организаций высшего образования Тюменской области по дзюдо,,,,Е.В. Хромин,0,https://vk.com/wall-5278698_5150,,Региональный,,Да
531,0,0,0,,0,научно-исследовательская,диплом,,,2026-01-08T19:00:00.000Z,,"Руководитель НОО ""Наука Плюс",,1.0,г. Саратов,,,"III Международный конкурс научных статей ""Лучшая научная статья 2025""",,,,Смирнова Ю.В.,0,https://vk.com/wall-212777882_271,,Международный,,Да
532,0,0,0,,0,учебная,диплом,,,2025-10-29T19:00:00.000Z,,ректор УрФУ,,2.0,Екатеринбург,,,Киберучения в УрФУ,,,,И.Н. Обабков,0,"https://www.utmn.ru/news/stories/studencheskaya-zhizn/1327768/, https://www.utmn.ru/scs/novosti/main/1327760/, ",,Всероссийский,,Нет
536,0,0,0,,0,спортивная,диплом,,,2025-04-11T19:00:00.000Z,,президент РОО ФПТО,,1.0,г.Тюмень ,,,чемпионат РОО ФПТО «Брасс.Самый быстрый» ,,,,Д.А.Фабричников ,0,https://vk.com/wall-223309146_940,,Муниципальный,,Да
538,0,0,0,,0,учебная,диплом,,,2025-05-14T19:00:00.000Z,,Ректор Тюменского ГМУ,,1.0,ФГБОУ ВО ТЮМЕНСКИЙ ГМУ МИНЗДРАВА РОССИИ,,,«Фестиваль естественно-научных проектов школьников» по направлению:  «Химико-биологические науки»,,,,И.М.Петров,0,,,Всероссийский,,Да
539,0,0,0,,0,культурно-творческая,диплом,,,2025-12-20T19:00:00.000Z,,Ректор ТюмГУ,,1.0,Главный корпус ТюмГУ,,,Leader UTMN 2025,,,,Романчук И.С. ,0,https://t.me/molpolutmn/4449,,Университетский,,Нет
541,0,0,0,,0,учебная,диплом,,,2024-12-06T19:00:00.000Z,,Исполнительный директор ФСП,,3.0,Москва (Онлайн формат),,,Чемпионат уральского федерального округа по спортивному программированию в дисциплине «Программирование систем информационной безопасности»,,,,А.А Арбузов,0,https://vk.com/wall-218628569_1443,,Региональный,,Нет
542,0,0,0,,0,общественная,благодарность,,,2025-08-01T21:00:00.000Z,,"Руководитель Регионального исполнительного комитета Тюменского регионального отделения Партии ""ЕДИНАЯ РОССИЯ""",,,Тюмень,,,"За успешную реализацию проекта ""Академия лидерства"" и содействие в формировании сообщества молодых лидеров региона",,,,О. В. Швецова ,0,https://vk.ru/wall491533476_4283,,Региональный,руководитель и организатор проекта,Нет
544,0,0,0,,0,спортивная,диплом,,,2025-02-05T19:00:00.000Z,,"директор департамента физической культуры, спорта и дополнительного образования Тюменской области ",,3.0,г.Тюмень ,,,Чемпионат Тюменской области по плаванию ,,,,Хромин Е.В ,0,,,Региональный,,Да
545,0,0,0,,0,учебная,грамота,,,2025-02-28T19:00:00.000Z,,Генеральный директор  Благотворительного фонда  поддержки образовательных  программ «КАПИТАНЫ»,,1.0,Онлайн,,,Всероссийский конкурс “Есть идея!”,,,,Исак Е.О,0,,,Всероссийский,,Да
546,0,0,0,,0,спортивная,диплом,,,2025-02-06T19:00:00.000Z,,"директор департамента физической культуры, спорта и дополнительного образования Тюменской области",,3.0,г.Тюмень ,,,Чемпионат Тюменской области по плаванию ,,,,Хромин Е.В,0,,,Региональный,,Да
547,0,0,0,,0,спортивная,диплом,,,2025-01-31T19:00:00.000Z,,Директор Департамента Физической культуры и спорта Тюменской области,,1.0,г. Тюмень ул. Валерии Гнаровской 1,,,Командные соревнования 3 спартакиада профессиональных образовательных организаций и образовательных организаций высшего образования Тюменской области на 2024-2025 учебный год по дзюдо,,,,Е.В. Хромин,0,"(https://vk.com/wall-5278698_5143 , https://vk.com/wall-5278698_5150",,Региональный,,Да
548,0,0,0,,0,учебная,диплом,,,2025-05-16T19:00:00.000Z,,"Генеральный директор ООО ""Киберпротект""",,4.0,Москва (Онлайн формат),,,"Международная олимпиада ""Траектория будущего"" в номинации ""Информационная безопасность"" от ООО ""Киберпротект""",,,,А.П. Бадаев,0,https://tbolimpiada.ru/onenews/241,,Международный,,Нет
552,0,0,0,,0,культурно-творческая,диплом,,,2025-04-08T19:00:00.000Z,,"Директор Департамента по общественным связям, коммуникациям и молодежной политике Тюменской области",,3.0,"МТЦ ""Космос"" ",,,"Областной фестиваль ""Студенческая весна""",,,,Широкова И.А.,0,,,Региональный,,Нет
553,0,0,0,,0,спортивная,диплом,,,2025-05-24T19:00:00.000Z,,И.о. ректора ТИУ,,1.0,г.Тюмень ,,,Кубок ТИУ по водным видам спорта,,,,Ю.С.Клочков,0,https://events.tyuiu.ru/kubok-tiu-po-vodnym-vidam-sporta,,Университетский,,Да
556,0,0,0,,0,учебная,диплом,,,2025-07-09T19:00:00.000Z,,"Председатель оргкомитета  конкурса, Заведующий кафедрой  «Высшая математика»,   Советник при ректорате ",,1.0,"г. Самара, Самарский политех",,,"XII ВСЕРОССИЙСКИЙ КОНКУРС ИССЛЕДОВАТЕЛЬСКИХ ПРОЕКТОВ,  ВЫПОЛНЕННЫХ ШКОЛЬНИКАМИ И СТУДЕНТАМИ ПРИ НАУЧНОМ  КОНСУЛЬТИРОВАНИИ УЧЕНЫХ МЕЖДУНАРОДНОЙ АССОЦИАЦИИ   СТРОИТЕЛЬНЫХ ВУЗОВ (АСВ)",,,,О.В. Юсупова,0,,,Всероссийский,,Да
557,0,0,0,,0,спортивная,грамота,,,2025-02-14T19:00:00.000Z,,Министр по физической культуре Челябинской области,,2.0,г. Челябинск ,,,Первенство Уральского федерального округа по дзюдо среди юниоров и юниорок до 23 лет ,,,,В.А. Иванов,0,( https://vk.com/wall-112341643_10455,,Региональный,,Да
560,0,0,0,,0,общественная,благодарность,,,2025-03-01T19:00:00.000Z,,директор Школы естественных наук,,,г. Тюмень,,,"За активное участие в организации и проведении традиционного регионального турнира ""Кубок ШЕН по физике для старшеклассников""",,,,А.В. Елышев,0,,,Региональный,волонтер,Да
561,0,0,0,,0,спортивная,диплом,,,2025-03-07T19:00:00.000Z,,Министр физической культуры и спорта свердловской области ,,1.0,г. Екатеринбург,,,"Всероссийские соревнования по дзюдо, памяти героя советского союза, разведчика Н.И. Кузнецова среди юниорок до 23 лет",,,,Л.А. Рапопорт,0,https://vk.com/wall-112341643_10552 ,,Всероссийский,,Да
564,0,0,0,,0,общественная,благодарность,,,2025-06-27T21:00:00.000Z,,Директор департамента по спорту и молодёжной политике  ,,,Тюмень,,,"За организацию площадки ""Твой Ход""",,,,Д.А. Фабричников,0,https://vk.ru/wall491533476_4259,,Муниципальный,организатор,Нет
565,0,0,0,,0,спортивная,диплом,,,2025-05-29T19:00:00.000Z,,директор департамента по спорту и молодежной политике ,,1.0,г.Тюмень ,,,"Кубок города Тюмени по плаванию, посвященный Дню защиты детей",,,,Д.А.Фабричников,0,,,Муниципальный,,Да
567,0,0,0,,0,общественная,благодарность,,,2025-12-19T19:00:00.000Z,,Руководитель центра молодежных инициатив ТюмГУ,,,Тюменский государственный университет,,,"""Вечерний огонёк""",,,,Конищева А.О.,0,,,Университетский,содействие в организации и проведении новогоднего мероприятия,Нет
569,0,0,0,,0,общественная,благодарность,,,2025-03-01T19:00:00.000Z,,Начальник управления молодёжной политики ТюмГУ,,,Главный корпус ТюмГУ,,,"Фестиваль студенческих объединений ""UTMN FEST""",,,,Степанчук Д.Ю.,0,https://vk.ru/wall-196540154_2784,,Университетский,"руководитель и организатор точки медиацентра ""лайт медиа""",Нет
570,0,0,0,,0,спортивная,диплом,,,2025-06-06T19:00:00.000Z,,Министр физической культуры и спорта свердловской области ,,2.0,г. Екатеринбург,,,Чемпионат Уральского федерального округа по дзюдо среди мужчин и женщин,,,,Л.А. Рапопорт,0,https://vk.com/wall-112341643_10932 ),,Региональный,,Да
572,0,0,0,,0,научно-исследовательская,диплом,,,2025-11-29T19:00:00.000Z,,Проректор по научной работе ФГБОУ ВО РГАУ-МСХА им. К.А. Тимирязева,,1.0,ФГБОУ ВО РГАУ-МСХА им. К.А. Тимирязева,,,Всероссийская молодежная научная конференция с международным участием X Вильямсовские чтения к 160-летию Российского государственного аграрного университета - МСХА им. К.А. Тимирязева.,,,,Селионова М.И.,0,https://www.timacad.ru/news/x-viliamsovskie-chteniia-vzgliad-v-budushchee-pochvovedeniia?faculty=87,,Всероссийский,,Нет
575,0,0,0,,0,спортивная,диплом,,,2025-03-22T19:00:00.000Z,,Директор Департамента Физической культуры и спорта Тюменской области,,3.0,г. Тюмень ул. Валерии Гнаровской 1,,,Всероссийские соревнования по дзюдо среди мужчин и женщин памяти заслуженного тренера России С.Г. Кудзиева,,,,Е.В. Хромин,0,( https://vk.com/wall-112341643_1059 ),,Всероссийский,,Да
576,0,0,0,,0,общественная,благодарность,,,2025-03-14T19:00:00.000Z,,"руководитель группы молодежных проектов, начальник управления молодежной политики",,,г. Тюмень,,,За помощь в организации Весеннего кубка студенческой лиги КВН ТюмГУ «Юмор на Туре»,,,,Д.Ю. Степанчук,0,https://vk.com/wall-60966734_1323,,Всероссийский,волонтер,Да
577,0,0,0,,0,общественная,благодарность,,,2025-09-06T19:00:00.000Z,,Начальник управления молодёжной политики ТюмГУ,,,Площадка ТюмГУ,,,"Фестиваль студенческих объединений ""UTMN FEST""",,,,Степанчук Д.Ю.,0,https://vk.ru/wall-196540154_3083,,Университетский,"руководитель и организатор точки медиацентра ""лайт медиа""",Нет
578,0,0,0,,0,спортивная,диплом,,,2025-09-10T19:00:00.000Z,,"директор департамента физической культуры, спорта и дополнительного образования Тюменской области",,2.0,г.Заводоуковск,,,Чемпионат Тюменской области по плаванию ,,,,Хромин Е.В,0,,,Региональный,,Да
579,0,0,0,,0,спортивная,диплом,,,2025-09-11T19:00:00.000Z,,"директор департамента физической культуры, спорта и дополнительного образования Тюменской области",,3.0,г.Заводоуковск,,,Чемпионат Тюменской области по плаванию ,,,,Хромин Е.В,0,,,Региональный,,Да
581,0,0,0,,0,общественная,благодарность,,,2026-03-31T19:00:00.000Z,,директор Центра развития карьеры и взаимодействия с выпускниками,,,г. Тюмень,,,За работу волонтером на форуме «Карьерный маркетплейс»,,,,А.С. Ларионов,0,https://www.utmn.ru/news/stories/trudoustroystvo/1262253/,,Университетский,волонтер,Да
582,0,0,0,,0,общественная,благодарность,,,2025-06-25T21:00:00.000Z,,ректор ТюмГУ,,,Тюмень,,,За высокие достижения в общественно значимой деятельности,,,,И. С. Романчук,0,https://vk.ru/wall491533476_4190,,Университетский,финалист конкурса,Нет
583,0,0,0,"Гурьев Никита Евгеньевич, Рыбина Арина Александровна, Зонова Екатерина Олеговна",0,научно-исследовательская,научная статья,30.0,,,2025-11-28T19:00:00.000Z,,"Гурьев Н.Е., Рыбина А.А., Зонова Е.О. Определение пространственных границ радоновых аномалий в границах г. Тюмени и его окрестностях // Сборник трудов Всероссийской молодежной научной конференции с международным участием X Вильямсовские чтения к 160-летию Российского государственного аграрного университета – МСХА имени К.А. Тимирязева (27-29 ноября 2025 года)/ Под. ред. В.Д. Наумова. Москва: РГАУ-МСХА имени К.А. Тимирязева, 2025. С. 598 - 602. URL: https://elib.timacad.ru/dl/full/s09122025Sb10_Vil_chten.pdf/info",,,Сборник трудов Всероссийской молодежной научной конференции с международным участием X Вильямсовские чтения к 160-летию Российского государственного аграрного университета – МСХА имени К.А. Тимирязева: РГАУ-МСХА имени К.А. Тимирязева,,,Определение пространственных границ радоновых аномалий в границах г. Тюмени и его окрестностях ,,,,1,,,<NULL>,,Нет
584,0,0,0,,0,спортивная,диплом,,,2025-11-16T19:00:00.000Z,,Директор Департамента Физической культуры и спорта Тюменской области,,1.0,г. Тюмень ,,,"Проект ""УниверЛига Регионов"" в рамках 4 Спартакиады профессиональных образовательных организаций и образовательных организаций высшего образования Тюменской области на 2025-2026 год по баскетболу среди девушек 20 лет и старше",,,,Е.В. Хромин,0,https://vk.ru/wall-5278698_5863,,Региональный,,Да
585,0,0,0,,0,спортивная,диплом,,,2025-11-08T19:00:00.000Z,,директор АУ ЦФОР Уватского муниципального района,,1.0,с. Уват,,,турнир Уватского муниципального района по плаванию посвященный празднованию 80й годовщины победы в ВОВ 1941-1945гг ,,,,Е.В.Халиулин,0,,,Муниципальный,,Да
586,0,0,0,,0,учебная,диплом,,,2025-04-23T19:00:00.000Z,,Заместитель директора Школы образования по учебно-методической работе,,1.0,Школа образования,,,"Студенческая научно-практическая конференция ""Сопровождение детей с разными формами дизонтогенеза в условиях современного инклюзивного образовательного пространства""",,,,Плотникова М. В.,0,https://vk.ru/wall-225967382_404 ,,Университетский,,Нет
587,0,0,0,,0,общественная,благодарность,,,2025-04-12T19:00:00.000Z,,директор Школы естественных наук,,,г. Тюмень,,,"За активное участие в организации и проведении регионального турнира ""Кубок ШЕН по физике для старшеклассников""",,,,А.В. Елышев,0,,,Региональный,волонтер,Да
